insee_code,commune_name,percent_main_housing_year_2020,percent_secondary_housing_year_2020,percent_main_housing_year_2020,percent_vacant_year_2020,percent_single_family_home_year_2020,percent_homeownership_year_2020,percent_renting_year_2020,percent_social_housing_year_2020
01302,Pollieu,77.6,14.3,8.2,0,98,86.8,13.2,0
01303,Poncin,79.6,7.2,13.2,20.7,78.1,61.1,36.8,12
01304,Pont-d'Ain,82.9,4.1,13.1,30.4,69.4,64.3,33.6,8.9
01305,Pont-de-Vaux,83.7,3.2,13.2,54.6,45.2,41.1,56.9,14.8
01306,Pont-de-Veyle,85.7,2.3,12,58.5,40.8,42.3,56.1,15.3
01307,Port,89.6,2.7,7.7,44,56,54.4,44.5,24.5
01308,Pougny,77.2,13.4,9.3,20.3,78.1,75.7,20.4,9.2
01309,Pouillat,74.4,11.8,13.8,1.9,98.1,92.5,5,0
01310,Prémeyzel,72.4,19.3,8.3,2.7,97.3,71.7,20.8,0
01311,Prémillieu,33,67,0,4.8,95.2,90.5,9.5,0
01313,Prévessin-Moëns,81.9,10.5,7.6,56.6,43,55.5,42.7,15.9
01314,Priay,85.4,7.2,7.4,12.7,86.1,72.9,25.7,4.9
01317,Ramasse,87.2,7,5.8,3.8,96.2,90.5,7.3,0
01318,Rancé,96.2,1.5,2.3,0.8,99.2,96,3.6,0
01319,Relevant,89.9,5.8,4.3,2.4,97.6,81.8,16.6,2.1
01320,Replonges,91.1,1.1,7.9,11.9,88,74.8,24.3,5.2
01321,Revonnas,90.5,2.1,7.4,4.6,95.4,83.3,14.9,5.8
01322,Reyrieux,93.2,2.4,4.4,11.7,87.7,76.5,21.1,7.7
01323,Reyssouze,86.5,5.7,7.9,7.5,91.9,80.9,18.2,2.8
01325,Rignieux-le-Franc,93.6,1.7,4.7,3.6,95.6,82.5,16.6,8.3
01328,Romans,83.1,7.3,9.5,8,91.6,72.3,26.1,8.2
01329,Rossillon,58.2,22.6,19.3,3.5,93.7,73.2,23.2,6.1
01330,Ruffieu,61.5,23,15.6,12.6,85.9,74.7,20.5,3.6
01331,Saint-Alban,76.1,19.3,4.6,1.8,98.2,86.7,10.8,0
01332,Saint-André-de-Bâgé,94.9,1.9,3.2,3.2,95.8,83.7,15.9,9.5
01333,Saint-André-de-Corcy,95,1.2,3.8,35.7,64.3,65.1,33.2,15.4
01334,Saint-André-d'Huiriat,90.3,3.1,6.6,1.9,97.7,83.3,15,2.2
01335,Saint-André-le-Bouchoux,93.2,3.4,3.4,3.4,96.6,90.5,8,0
01336,Saint-André-sur-Vieux-Jonc,90,1.8,8.2,17.2,82.8,73.4,26,12.9
01337,Saint-Bénigne,88.6,3.5,8,4.2,95.6,77.4,22,3.9
01338,Groslée-Saint-Benoit,73.8,15.5,10.7,6.6,93,77.4,20.4,3
01339,Saint-Bernard,87.1,8.1,4.8,3.6,96.1,88.1,11.6,3.7
01342,Sainte-Croix,88.9,8,3.1,4.9,93.8,83.5,13,1.5
01343,Saint-Cyr-sur-Menthon,93.5,1.3,5.2,7.1,92.6,75.5,24,8.2
01344,Saint-Denis-lès-Bourg,94.8,1,4.2,20.9,77.9,71,28.1,14.1
01345,Saint-Denis-en-Bugey,91.4,1.2,7.4,24.9,75,69.7,29.3,9
01346,Saint-Didier-d'Aussiat,89.6,4.3,6.1,8.4,91.4,81.3,17.6,2.3
